,Ano_sem,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual,ena_bruta_regiao_mwmed,ena_bruta_regiao_percentualmlt,ena_armazenavel_regiao_mwmed,ena_armazenavel_regiao_percentualmlt,NORDESTE
0,2001_26,49967.0,12325.0,24.66571453428572,2249.714285714286,50.40571430857143,2249.714285714286,50.40571430857143,684.0
1,2001_27,49967.0,11979.42857142857,23.975714002857146,2106.1428571428573,55.70142909428572,2106.1428571428573,55.70142909428572,684.0
2,2001_28,49967.0,11546.0,23.10714312857143,1930.857142857143,51.0657147,1930.857142857143,51.0657147,684.0
3,2001_29,49967.0,11191.57142857143,22.397142682857144,2048.0,54.16285705571429,2048.0,54.16285705571429,684.0
4,2001_30,49967.0,10770.0,21.55571419857143,1889.2857142857144,49.965714045714286,1889.2857142857144,49.965714045714286,684.0
5,2001_31,49967.0,10317.857142857143,20.64999989,1838.2857142857144,53.66857092428571,1838.2857142857144,53.66857092428571,684.0
6,2001_32,49967.0,9879.42857142857,19.77142879,1839.571428571429,55.74142837428571,1839.571428571429,55.74142837428571,684.0
7,2001_33,49967.0,9392.42857142857,18.795713968571427,1846.2857142857144,55.948571887142855,1846.2857142857144,55.948571887142855,684.0
8,2001_34,49967.0,8945.142857142857,17.90142849571429,1839.142857142857,55.72857175714285,1839.142857142857,55.72857175714285,684.0
9,2001_35,49967.0,8459.57142857143,16.931428911428572,1840.2857142857144,57.61857114428572,1839.0,57.575714111428574,684.0
10,2001_36,49967.0,7936.0,15.882857185714286,1868.0,63.16142872428571,1868.0,63.16142872428571,684.0
11,2001_37,49967.0,7475.571428571428,14.961428505714284,2035.4285714285716,68.82142911714286,2033.857142857143,68.76857158285715,684.0
12,2001_38,49967.0,6911.142857142857,13.831428667142855,1960.4285714285716,66.28571428571429,1960.2857142857144,66.28142874714285,562.15
13,2001_39,49967.0,6372.714285714285,12.754285675714286,1920.2857142857144,64.92857033714286,1919.7142857142856,64.9099993,562.15
14,2001_40,49967.0,5851.571428571428,11.710000038571428,1864.7142857142856,58.46999958571429,1861.7142857142856,58.37571389285714,562.15
15,2001_41,49967.0,5291.857142857143,10.590000152857144,1739.428571428571,54.54285757857143,1739.428571428571,54.54285757857143,562.15
16,2001_42,49967.0,4914.571428571428,9.834285737142858,2099.714285714286,65.84000124285714,2099.714285714286,65.84000124285714,562.15
17,2001_43,49967.0,4498.428571428572,9.002857344285713,2575.428571428572,80.75714220142858,2575.428571428572,80.75714220142858,562.15
18,2001_44,49967.0,4201.142857142857,8.408571515714286,2975.0,73.24428558571428,2974.428571428572,73.22571455,562.15
19,2001_45,49967.0,3905.428571428572,7.815714425714286,2876.0,57.03999982428572,2876.0,57.03999982428572,562.15
20,2001_46,49967.0,3667.571428571429,7.338571412857143,2865.8571428571427,56.83714294571429,2865.8571428571427,56.83714294571429,562.15
21,2001_47,49967.0,3708.714285714286,7.422857217142857,3720.142857142857,73.7785720842857,3720.0,73.77571433,562.15
22,2001_48,49967.0,3903.142857142857,7.8100000114285715,4515.142857142857,75.97428676142856,4515.142857142857,75.97428676142856,562.15
23,2001_49,49967.0,4460.857142857143,8.927142824285713,6920.714285714285,74.63428606285713,6920.0,74.62571498428572,562.15
24,2001_50,49967.0,4983.142857142857,9.974285805714286,7147.714285714285,77.08142743714286,7146.857142857143,77.07285526714286,562.15
25,2001_51,49967.0,5711.571428571428,11.4314285,5722.714285714285,61.71285683857143,5721.428571428572,61.69857079571428,562.15
26,2001_52,49967.0,6331.714285714285,12.671428544285714,5109.571428571428,55.10142898714286,5109.142857142857,55.09714290142857,562.15
27,2002_1,49967.0,8731.0,17.4737502325,11982.5,98.632499695,11982.5,98.632499695,562.15
28,2002_10,49967.0,29303.85714285714,58.64857047,14873.857142857143,105.51428549571428,14873.857142857143,105.51428549571428,4.88
29,2002_11,49967.0,30514.571428571428,61.07000024,11328.57142857143,80.36428397142858,11328.57142857143,80.36428397142858,7.32
30,2002_12,49967.0,31069.85714285714,62.17999921428572,7302.0,51.799999781428575,7302.0,51.799999781428575,7.04
31,2002_13,49967.0,31591.0,63.22428621428571,6474.571428571428,45.92857197428572,6474.571428571428,45.92857197428572,6.17
32,2002_14,49967.0,32139.285714285717,64.31999915,8525.857142857143,73.70000021857143,8525.857142857143,73.70000021857143,5.72
33,2002_15,49967.0,32849.71428571428,65.74428558285715,8539.285714285714,73.81714248714286,8539.285714285714,73.81714248714286,8.71
34,2002_16,49967.0,33007.28571428572,66.05856977142857,5591.857142857143,48.33999960571429,5591.857142857143,48.33999960571429,8.75
35,2002_17,49967.0,32949.71428571428,65.94285692571428,5034.714285714285,43.52285712142857,5034.714285714285,43.52285712142857,4.0
36,2002_18,49967.0,32636.714285714286,65.31714303142857,4119.571428571428,51.32714298857143,4119.571428571428,51.32714298857143,4.38
37,2002_19,49967.0,32249.85714285714,64.54428536714286,3328.428571428572,47.49000004285715,3328.428571428572,47.49000004285715,4.0
38,2002_2,49967.0,11316.714285714286,22.64999989,15849.42857142857,119.39000047857144,15849.42857142857,119.39000047857144,562.15
39,2002_20,49967.0,31709.285714285717,63.46142796,3101.0,44.24571446,3101.0,44.24571446,4.13
40,2002_21,49967.0,31124.714285714286,62.29142815857143,2996.5714285714284,42.75714220428571,2996.5714285714284,42.75714220428571,4.0
41,2002_22,49967.0,30530.285714285717,61.10000010714286,2832.5714285714284,46.24428612857143,2832.5714285714284,46.24428612857143,5.57
42,2002_23,49967.0,30054.85714285714,60.14857156,2754.1428571428573,59.884285518571424,2754.1428571428573,59.884285518571424,7.69
43,2002_24,49967.0,29387.85714285714,58.81571361,2763.1428571428573,60.08142798285714,2763.1428571428573,60.08142798285714,7.73
44,2002_25,49967.0,28735.714285714286,57.50999941142857,2539.1428571428573,55.20857075285714,2539.1428571428573,55.20857075285714,7.61
45,2002_26,49967.0,28036.42857142857,56.11142839714286,2311.428571428572,50.25999995571429,2311.428571428572,50.25999995571429,15.89
46,2002_27,49967.0,27450.714285714286,54.937143052857145,2445.285714285714,64.66857201857142,2445.285714285714,64.66857201857142,17.52
47,2002_28,49967.0,26825.571428571428,53.687143052857145,2484.5714285714284,65.70714133,2484.5714285714284,65.70714133,17.35
48,2002_29,49967.0,26081.0,52.19857188571429,2471.1428571428573,65.35428619142857,2471.1428571428573,65.35428619142857,15.59
49,2002_3,49967.0,14106.857142857143,28.23285729571429,18121.0,136.49999782,17726.0,133.52428545285713,562.15
50,2002_30,49967.0,25222.85714285714,50.48000008857143,2443.285714285714,64.61714172285714,2443.285714285714,64.61714172285714,15.44
51,2002_31,49967.0,24512.714285714286,49.05857140714286,2382.8571428571427,68.18714359857142,2382.8571428571427,68.18714359857142,13.52
52,2002_32,49967.0,23620.571428571428,47.27285766714285,2065.428571428572,62.58571570142857,2065.428571428572,62.58571570142857,11.72
53,2002_33,49967.0,22828.714285714286,45.687143598571424,1929.2857142857144,58.46000017428571,1929.2857142857144,58.46000017428571,12.41
54,2002_34,49967.0,21922.0,43.87428556571428,1788.0,54.17857088285714,1788.0,54.17857088285714,14.07
55,2002_35,49967.0,20994.571428571428,42.015714374285714,1636.428571428571,50.41857147285714,1636.428571428571,50.41857147285714,5.9
56,2002_36,49967.0,19866.714285714286,39.75857162571429,1457.571428571429,49.28285707857143,1457.571428571429,49.28285707857143,5.75
57,2002_37,49967.0,18740.0,37.50571387142857,1461.571428571429,49.417143141428575,1461.571428571429,49.417143141428575,5.54
58,2002_38,49967.0,17768.571428571428,35.56142861428572,1446.0,48.89142935428572,1446.0,48.89142935428572,4.86
59,2002_39,49967.0,16838.428571428572,33.69857134285714,1513.857142857143,51.18571417571429,1513.857142857143,51.18571417571429,4.0
60,2002_4,49967.0,16897.0,33.8157147,14308.142857142857,107.78142765428572,13757.142857142857,103.63142613,319.41
61,2002_40,49967.0,16013.42857142857,32.047143118571434,1911.857142857143,60.56142861428572,1911.857142857143,60.56142861428572,4.0
62,2002_41,49967.0,15143.285714285714,30.30571419714286,2463.428571428572,77.24571446142856,2463.428571428572,77.24571446142856,4.01
63,2002_42,49967.0,14203.142857142857,28.425714218571425,1792.142857142857,56.19428580142857,1792.142857142857,56.19428580142857,4.62
64,2002_43,49967.0,13172.285714285714,26.36285727428572,1793.571428571429,56.23857171428572,1793.571428571429,56.23857171428572,6.61
65,2002_44,49967.0,12140.142857142857,24.29428591142857,1548.0,41.44571440571429,1548.0,41.44571440571429,6.72
66,2002_45,49967.0,11332.285714285714,22.68142836285714,1475.428571428571,29.259999684285717,1475.428571428571,29.259999684285717,5.66
67,2002_46,49967.0,10483.42857142857,20.98142841857143,2608.8571428571427,51.74000004285715,2608.8571428571427,51.74000004285715,5.9
68,2002_47,49967.0,9977.0,19.96714265,4086.857142857143,81.0528575357143,4086.857142857143,81.0528575357143,5.67
69,2002_48,49967.0,9328.142857142857,18.668571472857145,2930.285714285714,54.79285675857143,2930.285714285714,54.79285675857143,5.66
70,2002_49,49967.0,8636.42857142857,17.284286225714286,3824.857142857143,41.24571446,3824.857142857143,41.24571446,5.74
71,2002_5,49967.0,18569.42857142857,37.16285650714286,13743.285714285714,100.88571384857144,13688.57142857143,100.47428567142858,319.41
72,2002_50,49967.0,8369.142857142857,16.751428604285714,3189.714285714286,34.40000016285715,3189.714285714286,34.40000016285715,6.13
73,2002_51,49967.0,8243.285714285714,16.498571395714286,3940.428571428572,42.492857251428575,3940.428571428572,42.492857251428575,4.01
74,2002_52,49967.0,8485.0,16.981428417142858,8484.0,91.49000004428572,8484.0,91.49000004428572,4.0
75,2002_6,49967.0,20802.285714285717,41.632856641428575,13719.142857142857,97.50428662857144,13719.142857142857,97.50428662857144,319.41
76,2002_7,49967.0,22722.42857142857,45.47428566857143,11604.857142857143,82.47999899714286,11604.857142857143,82.47999899714286,319.41
77,2002_8,49967.0,25056.42857142857,50.145714895714285,13927.285714285714,98.98428671714284,13927.285714285714,98.98428671714284,319.41
78,2002_9,49967.0,27590.571428571428,55.218571252857146,14830.42857142857,105.32285635857144,14830.42857142857,105.32285635857144,4.0
79,2003_1,49967.0,8548.25,17.10874986625,7271.0,58.89375019,7263.5,58.81875038125,5.23
80,2003_10,49967.0,22441.0,44.91428593142857,8931.57142857143,63.35857118714286,8931.57142857143,63.35857118714286,4.0
81,2003_11,49967.0,22470.714285714286,44.96999958714286,6966.428571428572,49.421428681428566,6966.428571428572,49.421428681428566,4.0
82,2003_12,49967.0,23053.571428571428,46.140000480000005,6448.714285714285,45.74428558428571,6448.714285714285,45.74428558428571,4.0
83,2003_13,49967.0,24102.14285714286,48.237142291428576,8736.714285714286,61.97714397,8655.857142857143,61.40428597571429,4.0
84,2003_14,49967.0,24789.0,49.61142948857143,9375.57142857143,79.00857217,9354.714285714286,78.86142948714284,5.48
85,2003_15,49967.0,25771.14285714286,51.57571356571429,9647.714285714286,83.40142931142857,9647.714285714286,83.40142931142857,5.48
86,2003_16,49967.0,26225.714285714286,52.48857171285714,7603.0,65.72428567285714,7603.0,65.72428567285714,5.48
87,2003_17,49967.0,26283.42857142857,52.60428564857143,5749.857142857143,49.70714296571429,5749.857142857143,49.70714296571429,5.48
88,2003_18,49967.0,26234.85714285714,52.50571441571429,4725.857142857143,55.67428643428571,4725.857142857143,55.67428643428571,5.57
89,2003_19,49967.0,25998.85714285714,52.03142874428572,4314.142857142857,61.55571419857143,4314.142857142857,61.55571419857143,5.96
90,2003_2,49967.0,10476.42857142857,20.96714292142857,8814.57142857143,66.39857155714286,8814.57142857143,66.39857155714286,4.0
91,2003_20,49967.0,25606.714285714286,51.24857112285714,4028.285714285714,57.477143424285714,4028.285714285714,57.477143424285714,6.25
92,2003_21,49967.0,25348.14285714286,50.72857175285714,3988.857142857143,56.91428538714285,3988.857142857143,56.91428538714285,7.1
93,2003_22,49967.0,24929.285714285717,49.89428547428572,3457.714285714286,52.85857118857143,3457.714285714286,52.85857118857143,11.49
94,2003_23,49967.0,24315.85714285714,48.66571426285714,3091.0,67.21000017428571,3091.0,67.21000017428571,11.31
95,2003_24,49967.0,23914.0,47.85857173428571,2942.1428571428573,63.06428636857142,2927.714285714286,62.75857108,9.17
96,2003_25,49967.0,23518.285714285717,47.06714303,2851.428571428572,60.45714242142857,2827.285714285714,59.94428634857143,10.55
97,2003_26,49967.0,23092.42857142857,46.215714045714286,2754.0,58.39142935714285,2728.5714285714284,57.85285731571429,9.98
98,2003_27,49967.0,22532.42857142857,45.09428569285715,2695.428571428572,67.73000008714286,2666.8571428571427,67.01428604,10.33
